           TimeStamp             Session           ChannelID            Polarity           Impedance               Power   DistalTemperature ProximalTemperature                   
             4313559               34399                   0                 UNI             109.000              21.625              51.875               0.000                   
             4313659               34399                   0                 UNI             108.500              21.250              52.000               0.000                   
             4313759               34399                   0                 UNI             109.000              21.500              52.000               0.000                   
             4313861               34399                   0                 UNI             108.500              21.750              52.125               0.000                   
             4313962               34399                   0                 UNI             108.500              22.000              52.125               0.000                   
             4314061               34399                   0                 UNI             109.250              22.125              52.250               0.000                   
             4314162               34399                   0                 UNI             109.000              21.750              52.250               0.000                   
             4386246               34400                   0                 UNI             103.500               9.750              34.875               0.000                   
             4386346               34400                   0                 UNI             103.750              10.000              35.250               0.000                   
             4386446               34400                   0                 UNI             104.500               9.875              35.750               0.000                   
             4386546               34400                   0                 UNI             104.500              10.000              36.000               0.000                   
             4386646               34400                   0                 UNI             104.500              10.875              36.375               0.000                   
             4386746               34400                   0                 UNI             104.250              11.625              36.750               0.000                   
             4386846               34400                   0                 UNI             104.500              11.750              37.250               0.000                   
             4386946               34400                   0                 UNI             104.250              11.875              37.750               0.000                   
             4387046               34400                   0                 UNI             103.750              11.750              38.000               0.000                   
             4387146               34400                   0                 UNI             103.500              11.875              38.500               0.000                   
             4387246               34400                   0                 UNI             103.500              12.375              39.000               0.000                   
             4387346               34400                   0                 UNI             103.500              12.750              39.375               0.000                   
             4387446               34400                   0                 UNI             103.250              12.750              39.750               0.000                   
             4387546               34400                   0                 UNI             103.250              12.875              40.125               0.000                   
             4387646               34400                   0                 UNI             103.250              12.875              40.375               0.000                   
             4387746               34400                   0                 UNI             103.000              13.375              40.750               0.000                   
             4387846               34400                   0                 UNI             103.250              13.750              41.000               0.000                   
             4387946               34400                   0                 UNI             102.500              14.000              41.250               0.000                   
             4388046               34400                   0                 UNI             103.000              14.000              41.750               0.000                   
             4388146               34400                   0                 UNI             103.000              14.250              42.000               0.000                   
             4388246               34400                   0                 UNI             103.000              14.250              42.250               0.000                   
             4388346               34400                   0                 UNI             103.000              14.500              42.375               0.000                   
             4388446               34400                   0                 UNI             102.500              15.125              42.625               0.000                   
             4388546               34400                   0                 UNI             103.250              15.000              43.000               0.000                   
             4388646               34400                   0                 UNI             102.500              15.375              43.250               0.000                   
             4388746               34400                   0                 UNI             102.250              15.500              43.500               0.000                   
             4388846               34400                   0                 UNI             102.250              15.500              43.625               0.000                   
             4388946               34400                   0                 UNI             102.500              15.750              43.875               0.000                   
             4389046               34400                   0                 UNI             102.250              16.250              44.000               0.000                   
             4389146               34400                   0                 UNI             102.250              16.000              44.375               0.000                   
             4389246               34400                   0                 UNI             102.500              16.375              44.500               0.000                   
             4389346               34400                   0                 UNI             102.250              16.375              44.750               0.000                   
             4389446               34400                   0                 UNI             102.250              17.000              44.875               0.000                   
             4389546               34400                   0                 UNI             102.250              17.250              45.000               0.000                   
             4389645               34400                   0                 UNI             102.500              16.750              45.250               0.000                   
             4389745               34400                   0                 UNI             102.250              17.375              45.375               0.000                   
             4389845               34400                   0                 UNI             102.000              17.500              45.500               0.000                   
             4389945               34400                   0                 UNI             102.000              17.750              45.625               0.000                   
             4390045               34400                   0                 UNI             101.750              17.500              45.875               0.000                   
             4390145               34400                   0                 UNI             102.500              18.125              46.000               0.000                   
             4390245               34400                   0                 UNI             102.000              19.000              46.125               0.000                   
             4390345               34400                   0                 UNI             102.000              18.500              46.250               0.000                   
