              UniqID                   X                   Y                   Z             MaxTime           TotalTime        MaxImpedance      MaxTemperature            MaxPower     MaxAverageForce                   
           503537508               8.500              37.500               3.500               0.117               0.117          -10000.000              48.375              11.375               7.341                   
           506561516              16.500              61.500               6.500              24.700              24.700             102.633              54.875              22.750               1.649                   
           504528525              25.500              28.500               4.500              43.300              43.300              99.552              55.125              20.750              21.284                   
           508569521              21.500              69.500               8.500              14.500              14.500              99.532              52.625              30.500               1.323                   
           508562540              40.500              62.500               8.500              45.000              44.999             128.955              55.250              22.000              17.552                   
           509567521              21.500              67.500               9.500               7.867               7.867              99.341              52.625              30.500               1.323                   
           507569521              21.500              69.500               7.500               7.867               7.867              99.341              52.625              30.500               1.323                   
           509569521              21.500              69.500               9.500               7.867               7.867              99.341              52.625              30.500               1.323                   
           502531527              27.500              31.500               2.500              42.550              42.550              99.621              55.125              20.000              18.922                   
           508567522              22.500              67.500               8.500               7.867               7.867              99.341              52.625              30.500               1.323                   
           509568522              22.500              68.500               9.500               7.867               7.867              99.341              52.625              30.500               1.323                   
           504544513              13.500              44.500               4.500              28.550              28.550             101.442              55.250              14.250               7.253                   
           508569522              22.500              69.500               8.500               7.867               7.867              99.341              52.625              30.500               1.323                   
           506524524              24.500              24.500               6.500              44.950              44.949              99.777              55.000              20.500              22.656                   
           506563517              17.500              63.500               6.500              28.300              28.300             104.250              54.875              21.125               1.449                   
           503537509               9.500              37.500               3.500               0.117               0.117          -10000.000              48.375              11.375               7.341                   
           505564517              17.500              64.500               5.500              28.300              28.300             104.250              54.875              21.125               1.449                   
           506564517              17.500              64.500               6.500              28.300              28.300             104.250              54.875              21.125               1.449                   
           504539510              10.500              39.500               4.500              27.150              27.150              99.749              55.125              16.125               7.596                   
           502525510              10.500              25.500               2.500               7.717               7.717              98.735              55.500              14.625               7.281                   
           507564517              17.500              64.500               7.500              28.300              28.300             104.250              54.875              21.125               1.449                   
           506565517              17.500              65.500               6.500              28.300              28.300             104.250              54.875              21.125               1.449                   
           505539509               9.500              39.500               5.500              27.150              27.150              99.749              55.125              16.125               7.596                   
           506563518              18.500              63.500               6.500              28.300              28.300             104.250              54.875              21.125               1.449                   
           507563518              18.500              63.500               7.500              28.300              28.300             104.250              54.875              21.125               1.449                   
           508563540              40.500              63.500               8.500              45.000              44.999             128.955              55.250              22.000              17.552                   
           505564518              18.500              64.500               5.500              28.300              28.300             104.250              54.875              21.125               1.449                   
           503533526              26.500              33.500               3.500              42.550              42.550              99.621              55.125              20.000              18.922                   
           504526526              26.500              26.500               4.500              43.300              43.300              99.552              55.125              20.750              21.284                   
           503528525              25.500              28.500               3.500              43.300              43.300              99.552              55.125              20.750              21.284                   
           501539527              27.500              39.500               1.500              44.450              44.449             101.704              55.250              23.000              14.896                   
           506564518              18.500              64.500               6.500              28.300              28.300             104.250              54.875              21.125               1.449                   
           503544529              29.500              44.500               3.500              46.150              46.149             105.464              55.250              30.625              11.833                   
           503528505               5.500              28.500               3.500              16.900              16.900              99.212              55.125              12.875               8.126                   
           507564518              18.500              64.500               7.500              28.300              28.300             104.250              54.875              21.125               1.449                   
           503540510              10.500              40.500               3.500              27.150              27.150              99.749              55.125              16.125               7.596                   
           505565518              18.500              65.500               5.500              28.300              28.300             104.250              54.875              21.125               1.449                   
           507565518              18.500              65.500               7.500              28.300              28.300             104.250              54.875              21.125               1.449                   
           505526525              25.500              26.500               5.500              43.300              43.300              99.552              55.125              20.750              21.284                   
           506563519              19.500              63.500               6.500              28.300              28.300             104.250              54.875              21.125               1.449                   
           505564519              19.500              64.500               5.500              28.300              28.300             104.250              54.875              21.125               1.449                   
           504528505               5.500              28.500               4.500              16.850              16.850              99.212              55.125              12.875               8.126                   
           506564519              19.500              64.500               6.500              28.300              28.300             104.250              54.875              21.125               1.449                   
           507564519              19.500              64.500               7.500              28.300              28.300             104.250              54.875              21.125               1.449                   
           506559516              16.500              59.500               6.500              24.700              24.700             102.633              54.875              22.750               1.649                   
           509569541              41.500              69.500               9.500              46.450              46.449             141.262              55.250              16.000              20.554                   
           505560516              16.500              60.500               5.500              25.217              25.216             102.633              54.875              22.750               1.649                   
           502538527              27.500              38.500               2.500              44.450              44.449             101.704              55.250              23.000              14.896                   
           505554516              16.500              54.500               5.500               8.583               8.583             101.575              55.125              17.750               1.914                   
           506560516              16.500              60.500               6.500              25.217              25.216             102.633              54.875              22.750               1.649                   
           507560516              16.500              60.500               7.500              24.700              24.700             102.633              54.875              22.750               1.649                   
           504531508               8.500              31.500               4.500              26.600              26.600              99.276              55.250              13.750               7.444                   
           505559517              17.500              59.500               5.500              25.217              25.216             102.633              54.875              22.750               1.649                   
           502535507               7.500              35.500               2.500              27.833              27.833              99.792              55.250              14.500               7.506                   
           506559517              17.500              59.500               6.500              28.750              28.750             102.633              54.875              22.750               1.649                   
           504561517              17.500              61.500               4.500               0.517               0.517             101.095              54.875              20.375               1.540                   
           506560517              17.500              60.500               6.500              28.750              28.750             102.633              54.875              22.750               1.649                   
           509577545              45.500              77.500               9.500              46.300              46.299             161.182              55.750              20.000              26.559                   
           506561517              17.500              61.500               6.500              28.750              28.750             102.633              54.875              22.750               1.649                   
           507561517              17.500              61.500               7.500              24.700              24.700             102.633              54.875              22.750               1.649                   
           500539527              27.500              39.500               0.500               6.133               6.133             100.117              55.250              22.500              14.722                   
           502543512              12.500              43.500               2.500              28.550              28.550             101.442              55.250              14.250               7.253                   
           505540510              10.500              40.500               5.500              27.150              27.150              99.749              55.125              16.125               7.596                   
           506559518              18.500              59.500               6.500              28.233              28.233             102.633              54.875              22.750               1.649                   
           506559519              19.500              59.500               6.500               3.533               3.533             100.612              54.750              22.500               1.646                   
           506560518              18.500              60.500               6.500              28.750              28.750             102.633              54.875              22.750               1.649                   
           503544512              12.500              44.500               3.500              28.550              28.550             101.442              55.250              14.250               7.253                   
           507560518              18.500              60.500               7.500              28.233              28.233             102.633              54.875              22.750               1.649                   
           506561518              18.500              61.500               6.500              28.233              28.233             102.633              54.875              22.750               1.649                   
           504560516              16.500              60.500               4.500               0.517               0.517             101.095              54.875              20.375               1.540                   
           504544529              29.500              44.500               4.500              46.150              46.149             105.464              55.250              30.625              11.833                   
           504560517              17.500              60.500               4.500               0.517               0.517             101.095              54.875              20.375               1.540                   
           503530508               8.500              30.500               3.500              26.600              26.600              99.276              55.250              13.750               7.444                   
           502527508               8.500              27.500               2.500               0.783               0.783              98.885              55.000              12.625               7.418                   
           504559517              17.500              59.500               4.500               0.517               0.517             101.095              54.875              20.375               1.540                   
           505559518              18.500              59.500               5.500               4.050               4.050             101.095              54.875              22.500               1.646                   
           504560518              18.500              60.500               4.500               0.517               0.517             101.095              54.875              20.375               1.540                   
           507559518              18.500              59.500               7.500               3.533               3.533             100.612              54.750              22.500               1.646                   
           506557537              37.500              57.500               6.500              45.250              45.249             121.565              55.250              23.000              12.936                   
           504540509               9.500              40.500               4.500              27.150              27.150              99.749              55.125              16.125               7.596                   
           504535509               9.500              35.500               4.500              27.833              27.833              99.792              55.250              14.500               7.506                   
           507561518              18.500              61.500               7.500               3.533               3.533             100.612              54.750              22.500               1.646                   
           505560519              19.500              60.500               5.500               3.533               3.533             100.612              54.750              22.500               1.646                   
           503534509               9.500              34.500               3.500              27.833              27.833              99.792              55.250              14.500               7.506                   
           506560519              19.500              60.500               6.500               3.533               3.533             100.612              54.750              22.500               1.646                   
           507560519              19.500              60.500               7.500               3.533               3.533             100.612              54.750              22.500               1.646                   
           506561519              19.500              61.500               6.500               3.533               3.533             100.612              54.750              22.500               1.646                   
           505555515              15.500              55.500               5.500              27.950              27.950             102.286              55.125              17.750               1.914                   
           504557516              16.500              57.500               4.500              19.367              19.367             102.286              55.000              16.875               1.822                   
           504556515              15.500              56.500               4.500              19.367              19.367             102.286              55.000              16.875               1.822                   
           505556515              15.500              56.500               5.500              27.950              27.950             102.286              55.125              17.750               1.914                   
           503526511              11.500              26.500               3.500               7.717               7.717              98.735              55.500              14.625               7.281                   
