ECG_Export_4.0
Raw ECG to MV (gain) = 0.003000
Unipolar Mapping Channel=M1 Bipolar Mapping Channel=M1-M2 Reference Channel=I
M1(1)                         M2(2)                         M3(3)                         M4(4)                         M7(7)                         M8(8)                         M9(9)                         M10(10)                       WCT_GND(21)                   V1(22)                        V2(23)                        V3(24)                        V4(25)                        V5(26)                        V6(27)                        LA(28)                        RA(29)                        LL(30)                        M1-M2(92)                     M3-M4(94)                     I(110)                        II(111)                       III(112)                      aVL(171)                      aVR(172)                      aVF(173)                      
276                           277                           147                           147                           11                            -14                           84                            -88                           -138                          -62                           -26                           -43                           -30                           -27                           -29                           14                            -13                           -59                           1                             0                             27                            -46                           -74                           50                            9                             -60                           
218                           217                           -37                           -37                           27                            -29                           -48                           36                            -139                          -18                           -20                           -34                           -20                           -19                           -18                           37                            -4                            -46                           2                             0                             41                            -42                           -84                           63                            0                             -63                           
54                            52                            -169                          -169                          44                            -45                           -69                           59                            -138                          51                            -4                            -6                            0                             0                             3                             63                            6                             -26                           0                             0                             56                            -33                           -90                           73                            -11                           -61                           
-116                          -117                          -173                          -174                          40                            -41                           5                             -3                            -138                          127                           14                            27                            22                            21                            28                            77                            13                            -9                            1                             0                             63                            -23                           -87                           75                            -20                           -55                           
-192                          -192                          39                            38                            18                            -14                           14                            -11                           -139                          174                           23                            44                            35                            33                            42                            64                            11                            -5                            0                             0                             52                            -17                           -70                           61                            -17                           -43                           
-84                           -82                           311                           311                           1                             3                             5                             -7                            -139                          166                           17                            31                            28                            25                            34                            23                            1                             -13                           -5                            0                             22                            -14                           -37                           29                            -4                            -25                           
207                           211                           248                           247                           10                            -11                           8                             -9                            -139                          129                           5                             8                             16                            11                            18                            -14                           -5                            -15                           0                             0                             -8                            -9                            0                             -4                            8                             -4                            
338                           340                           -36                           -37                           9                             -11                           -41                           43                            -139                          107                           3                             0                             12                            6                             10                            -27                           -3                            -1                            2                             0                             -23                           2                             25                            -24                           10                            14                            
110                           109                           -208                          -209                          1                             0                             -49                           48                            -139                          107                           11                            12                            19                            12                            16                            -21                           3                             21                            1                             0                             -24                           17                            41                            -32                           3                             29                            
-142                          -143                          -237                          -236                          12                            -13                           5                             -8                            -139                          113                           22                            32                            30                            23                            26                            -13                           9                             43                            1                             0                             -23                           33                            56                            -39                           -5                            44                            
-233                          -233                          -142                          -142                          3                             -7                            -21                           22                            -139                          99                            28                            42                            34                            28                            30                            -19                           10                            55                            0                             0                             -29                           44                            73                            -51                           -7                            58                            
-202                          -201                          31                            32                            -5                            6                             -30                           31                            -139                          51                            22                            30                            25                            21                            19                            -40                           4                             51                            -1                            -1                            -45                           47                            92                            -68                           -1                            69                            
-56                           -54                           144                           144                           8                             -6                            71                            -73                           -139                          -23                           5                             1                             5                             2                             -1                            -66                           -4                            39                            0                             0                             -61                           43                            105                           -83                           8                             74                            
103                           104                           122                           122                           11                            -12                           108                           -109                          -139                          -101                          -12                           -31                           -17                           -17                           -25                           -77                           -10                           26                            0                             0                             -68                           36                            104                           -86                           15                            70                            
154                           154                           -84                           -85                           -8                            6                             41                            -42                           -139                          -144                          -22                           -46                           -29                           -27                           -36                           -61                           -7                            18                            1                             0                             -53                           26                            80                            -66                           13                            53                            
31                            29                            -328                          -328                          -17                           15                            27                            -33                           -139                          -129                          -15                           -30                           -22                           -19                           -27                           -18                           0                             16                            4                             0                             -19                           16                            35                            -27                           1                             26                            
-241                          -245                          -237                          -237                          -4                            1                             23                            -26                           -138                          -85                           -3                            -4                            -8                            -4                            -10                           21                            6                             9                             -1                            0                             14                            2                             -12                           13                            -8                            -4                            
-341                          -343                          73                            73                            -4                            2                             -10                           14                            -139                          -59                           0                             3                             -4                            0                             -3                            32                            3                             -9                            -1                            0                             28                            -13                           -42                           35                            -7                            -27                           
-86                           -84                           257                           257                           -4                            3                             23                            -24                           -139                          -61                           -7                            -10                           -12                           -7                            -11                           21                            -5                            -34                           -2                            0                             26                            -29                           -56                           41                            1                             -42                           
190                           193                           265                           265                           -15                           13                            34                            -37                           -139                          -70                           -19                           -32                           -23                           -21                           -24                           10                            -12                           -53                           0                             0                             22                            -41                           -64                           44                            9                             -53                           
276                           277                           141                           140                           -38                           37                            -26                           26                            -139                          -60                           -26                           -44                           -27                           -27                           -29                           15                            -12                           -58                           0                             0                             27                            -46                           -74                           51                            9                             -60                           
214                           213                           -47                           -48                           -15                           16                            -41                           41                            -139                          -16                           -20                           -34                           -18                           -20                           -19                           37                            -4                            -47                           1                             0                             41                            -42                           -85                           63                            0                             -64                           
43                            42                            -174                          -175                          26                            -26                           -6                            2                             -139                          53                            -4                            -6                            1                             0                             4                             63                            6                             -26                           1                             0                             56                            -33                           -90                           73                            -11                           -62                           
-124                          -125                          -166                          -167                          11                            -13                           -3                            5                             -139                          127                           13                            27                            25                            22                            30                            76                            13                            -9                            1                             0                             63                            -23                           -86                           74                            -19                           -55                           
-191                          -191                          52                            52                            -38                           39                            -16                           20                            -139                          172                           22                            43                            37                            33                            44                            62                            10                            -6                            0                             0                             52                            -17                           -69                           60                            -17                           -43                           
-75                           -74                           315                           315                           -26                           29                            2                             -2                            -139                          163                           15                            30                            30                            27                            36                            21                            0                             -14                           -4                            0                             21                            -14                           -35                           28                            -3                            -24                           
218                           221                           242                           241                           21                            -21                           -2                            1                             -138                          124                           1                             4                             14                            11                            15                            -23                           -11                           -19                           0                             0                             -11                           -8                            3                             -7                            10                            -2                            
340                           341                           -40                           -41                           22                            -24                           -42                           44                            -138                          98                            -6                            -6                            4                             1                             -3                            -42                           -13                           -10                           3                             0                             -28                           3                             32                            -30                           12                            18                            
104                           103                           -207                          -208                          24                            -23                           -42                           41                            -140                          99                            1                             5                             10                            8                             0                             -27                           0                             17                            1                             0                             -27                           18                            45                            -36                           4                             31                            
-145                          -147                          -231                          -232                          44                            -44                           -12                           10                            -139                          106                           14                            26                            21                            19                            12                            -13                           11                            42                            0                             0                             -24                           32                            55                            -40                           -3                            43                            
-230                          -230                          -136                          -136                          31                            -31                           -40                           43                            -138                          88                            17                            34                            21                            21                            12                            -24                           7                             49                            0                             -1                            -32                           42                            74                            -53                           -5                            57                            
-196                          -195                          33                            33                            9                             -7                            -67                           68                            -139                          40                            11                            23                            11                            12                            2                             -42                           3                             48                            -2                            0                             -46                           45                            91                            -68                           0                             68                            
-52                           -50                           141                           141                           20                            -19                           -18                           15                            -139                          -30                           0                             -2                            -3                            -3                            -12                           -56                           2                             43                            0                             -1                            -58                           41                            100                           -79                           8                             70                            
101                           102                           119                           119                           32                            -34                           12                            -10                           -138                          -103                          -15                           -33                           -21                           -21                           -29                           -62                           0                             33                            0                             1                             -62                           34                            96                            -79                           14                            64                            
152                           152                           -85                           -86                           19                            -19                           -26                           29                            -139                          -140                          -21                           -45                           -30                           -27                           -35                           -46                           1                             26                            0                             0                             -48                           25                            73                            -60                           11                            49                            
30                            29                            -327                          -328                          22                            -20                           -9                            7                             -138                          -122                          -12                           -27                           -21                           -15                           -22                           -6                            8                             24                            4                             0                             -15                           16                            31                            -23                           0                             23                            
-243                          -245                          -234                          -235                          35                            -31                           73                            -73                           -138                          -78                           0                             0                             -6                            0                             -4                            27                            10                            15                            -2                            0                             16                            4                             -12                           14                            -10                           -4                            
-343                          -344                          74                            74                            1                             5                             46                            -41                           -139                          -53                           4                             7                             -2                            5                             1                             33                            4                             -7                            -1                            0                             29                            -11                           -40                           35                            -9                            -26                           
-85                           -83                           255                           255                           -29                           36                            -44                           44                            -138                          -55                           -4                            -6                            -10                           -2                            -6                            20                            -6                            -33                           -2                            0                             26                            -27                           -54                           40                            0                             -41                           
190                           192                           262                           262                           -13                           14                            -30                           28                            -138                          -64                           -15                           -28                           -22                           -14                           -18                           8                             -14                           -54                           -1                            0                             22                            -40                           -62                           42                            8                             -51                           
273                           274                           138                           138                           -27                           24                            17                            -15                           -138                          -53                           -21                           -38                           -27                           -19                           -22                           13                            -14                           -59                           1                             0                             27                            -45                           -72                           50                            9                             -59                           
212                           212                           -49                           -49                           -58                           59                            7                             -5                            -138                          -9                            -15                           -28                           -18                           -12                           -12                           34                            -6                            -48                           1                             0                             41                            -42                           -83                           62                            0                             -63                           
43                            41                            -173                          -173                          -3                            4                             -3                            2                             -138                          59                            0                             -1                            2                             6                             9                             60                            4                             -28                           1                             0                             56                            -33                           -89                           72                            -11                           -61                           
-125                          -126                          -161                          -161                          41                            -43                           -23                           25                            -139                          132                           17                            30                            25                            27                            34                            74                            11                            -11                           1                             0                             62                            -23                           -85                           74                            -19                           -54                           
-188                          -188                          58                            58                            9                             -9                            -62                           64                            -139                          176                           25                            46                            37                            38                            47                            61                            9                             -7                            -1                            0                             51                            -17                           -68                           60                            -17                           -42                           
-67                           -66                           316                           316                           17                            -13                           -35                           32                            -139                          166                           18                            32                            31                            31                            39                            20                            0                             -14                           -3                            1                             20                            -14                           -35                           28                            -3                            -24                           
223                           217                           240                           240                           52                            -52                           45                            -44                           -139                          130                           7                             9                             18                            17                            23                            -17                           -7                            -15                           1                             0                             -10                           -8                            1                             -5                            9                             -3                            
341                           324                           -37                           -37                           34                            -36                           60                            -55                           -139                          108                           4                             1                             14                            11                            15                            -29                           -5                            -2                            1                             0                             -24                           2                             27                            -25                           10                            14                            
107                           97                            -204                          -205                          -6                            7                             19                            -19                           -139                          108                           12                            12                            21                            15                            19                            -23                           1                             18                            2                             0                             -24                           17                            42                            -33                           3                             29                            
-141                          -140                          -232                          -233                          -25                           25                            11                            -14                           -139                          112                           23                            30                            31                            24                            27                            -15                           8                             40                            0                             0                             -23                           32                            56                            -39                           -4                            43                            
-229                          -227                          -139                          -139                          -17                           15                            21                            -18                           -139                          97                            27                            39                            34                            26                            28                            -22                           8                             51                            0                             0                             -30                           42                            73                            -51                           -5                            58                            
-199                          -198                          31                            31                            0                             2                             19                            -17                           -139                          47                            20                            26                            24                            17                            16                            -43                           2                             48                            -1                            0                             -45                           46                            91                            -68                           0                             68                            
-55                           -53                           141                           141                           2                             0                             7                             -11                           -139                          -27                           4                             -2                            3                             -1                            -5                            -67                           -5                            36                            -1                            0                             -61                           42                            104                           -83                           9                             73                            
101                           102                           118                           118                           0                             -3                            -8                            7                             -138                          -101                          -13                           -33                           -19                           -20                           -28                           -78                           -10                           24                            0                             1                             -67                           34                            102                           -84                           16                            68                            
153                           153                           -92                           -93                           -3                            0                             -8                            8                             -138                          -140                          -21                           -46                           -30                           -28                           -37                           -59                           -7                            18                            1                             0                             -52                           25                            78                            -65                           12                            52                            
27                            26                            -335                          -336                          -11                           10                            34                            -38                           -139                          -122                          -13                           -28                           -23                           -18                           -26                           -15                           2                             18                            4                             -1                            -18                           15                            34                            -26                           0                             25                            
-252                          -245                          -235                          -235                          -16                           14                            87                            -87                           -138                          -78                           0                             -1                            -9                            -1                            -8                            23                            7                             11                            -1                            0                             15                            2                             -12                           13                            -9                            -4                            
-350                          -331                          78                            78                            -20                           20                            67                            -62                           -139                          -53                           2                             5                             -5                            4                             -1                            32                            3                             -8                            -1                            0                             29                            -12                           -41                           35                            -8                            -27                           
