Eleclectrode_Positions_2.0
Electrode#	Time	X	Y	Z
3	1626	12.9613	11.7988	13.6051	
3	1643	12.9592	11.7967	13.6001	
3	1660	12.9624	11.8013	13.6014	
3	1676	12.9588	11.8034	13.598	
3	1693	12.9533	11.7968	13.5912	
3	1710	12.9554	11.8052	13.5925	
3	1726	12.9577	11.8105	13.5895	
3	1743	12.9549	11.8056	13.5834	
3	1760	12.9497	11.8041	13.5758	
3	1776	12.9494	11.8071	13.5685	
3	1793	12.9512	11.811	13.5782	
3	1810	12.9517	11.8124	13.5805	
3	1826	12.9468	11.8112	13.5712	
3	1843	12.9451	11.8104	13.5649	
3	1860	12.9454	11.805	13.5677	
3	1876	12.9451	11.8143	13.5652	
3	1893	12.9418	11.8134	13.5597	
3	1910	12.941	11.8114	13.5674	
3	1926	12.944	11.8105	13.5695	
3	1943	12.9401	11.8111	13.5655	
3	1960	12.9434	11.8163	13.564	
3	1976	12.9414	11.8168	13.566	
3	1993	12.9411	11.8088	13.5722	
3	2010	12.9396	11.8171	13.5687	
3	2026	12.9433	11.813	13.5722	
3	2043	12.9383	11.8121	13.5704	
3	2060	12.9411	11.8113	13.5648	
3	2076	12.9396	11.8087	13.5706	
3	2093	12.9393	11.8105	13.5682	
3	2110	12.9394	11.8123	13.5807	
3	2126	12.9451	11.8116	13.5836	
3	2143	12.9398	11.8067	13.5727	
3	2160	12.938	11.8108	13.5724	
3	2176	12.9406	11.8121	13.5716	
3	2193	12.9405	11.8055	13.5753	
3	2210	12.9439	11.8049	13.5812	
3	2226	12.9455	11.8028	13.5815	
3	2243	12.9445	11.8101	13.5803	
3	2260	12.9413	11.7994	13.5882	
3	2276	12.9439	11.8022	13.5785	
3	2293	12.9435	11.8034	13.5835	
3	2310	12.9473	11.7994	13.5838	
3	2326	12.9484	11.8009	13.587	
3	2343	12.9469	11.8015	13.5897	
3	2360	12.9456	11.7974	13.5882	
3	2376	12.9461	11.7867	13.5831	
3	2393	12.9479	11.7932	13.5873	
3	2410	12.9486	11.7902	13.5864	
3	2426	12.9502	11.7841	13.5889	
3	2443	12.9494	11.7843	13.5871	
3	2460	12.9531	11.7758	13.5904	
3	2476	12.9523	11.7793	13.5885	
3	2493	12.9508	11.7791	13.5879	
4	-7	12.8734	9.76488	13.8687	
4	10	12.8773	9.75344	13.8696	
4	26	12.8746	9.75517	13.8729	
4	43	12.8765	9.75966	13.8659	
4	60	12.8766	9.75425	13.8724	
4	76	12.8795	9.76049	13.8775	
4	93	12.8792	9.76053	13.8753	
4	110	12.8818	9.757	13.8753	
4	126	12.8796	9.76183	13.8822	
4	143	12.8818	9.76545	13.8789	
4	160	12.8791	9.76286	13.8783	
4	176	12.881	9.77033	13.8803	
4	193	12.8792	9.76263	13.8878	
4	210	12.8805	9.76079	13.8832	
4	226	12.8785	9.76667	13.8936	
4	243	12.8782	9.76622	13.8879	
4	260	12.8774	9.76681	13.8924	
4	276	12.8743	9.76926	13.8891	
4	293	12.8726	9.77358	13.8944	
4	310	12.8704	9.76882	13.895	
4	326	12.8682	9.77349	13.8974	
4	343	12.8681	9.77263	13.8993	
4	360	12.8619	9.77441	13.9013	
4	376	12.8629	9.77318	13.9023	
4	393	12.8609	9.77379	13.912	
4	410	12.8559	9.77576	13.9119	
4	426	12.8543	9.77906	13.9084	
4	443	12.8494	9.78288	13.9098	
4	460	12.8455	9.77954	13.914	
4	476	12.8457	9.78519	13.9166	
4	493	12.8431	9.77934	13.9183	
4	510	12.8405	9.78008	13.9182	
4	526	12.8366	9.78414	13.9167	
4	543	12.8342	9.77852	13.9197	
4	560	12.832	9.77895	13.9221	
4	576	12.8267	9.78272	13.918	
4	593	12.8253	9.77614	13.9256	
4	610	12.8251	9.78723	13.9247	
4	626	12.8194	9.77951	13.9295	
4	643	12.8186	9.7808	13.9233	
4	660	12.8168	9.77446	13.9278	
4	676	12.8121	9.7768	13.9201	
4	693	12.815	9.77866	13.9319	
4	710	12.81	9.77559	13.9247	
4	726	12.8096	9.77162	13.922	
4	743	12.8096	9.7795	13.9324	
4	760	12.8061	9.77845	13.9285	
