2-Map_P1_ContactForce.txt_2.0
Rate=50	Number =200	Date:11/25/21	Point Time:15:01:33	System Time:15:01:33	
Mode=0
IntervalGraph=100
7439542	5.83606	135	26	0	0	0	
IntervalNonGraph=1000
7439992	6.03406	132	26	0	0	0	
Index	Time	Timestamp	ForceValue	AxialAngle	LateralAngle	MetalSeverity	InAccurateSeverity	NeedZeroing	
150	-15	7437492	5.56529	-226	27	0	0	0	
151	35	7437542	6.07141	-227	18	0	0	0	
152	85	7437592	7.0353	-224	25	0	0	0	
153	135	7437642	5.31313	-226	29	0	0	0	
154	185	7437692	4.50932	0	0	0	0	0	
155	235	7437742	4.54804	0	0	0	0	0	
156	285	7437792	5.47858	-234	31	0	0	0	
157	335	7437842	5.6415	-224	24	0	0	0	
158	385	7437892	5.01442	-219	27	0	0	0	
159	435	7437942	6.07369	-232	33	0	0	0	
160	485	7437992	6.36218	-230	26	0	0	0	
161	535	7438042	6.0954	-228	25	0	0	0	
162	585	7438092	6.13079	-226	25	0	0	0	
163	635	7438142	5.79439	-234	18	0	0	0	
164	685	7438192	5.54533	-230	27	0	0	0	
165	735	7438242	6.55789	-227	21	0	0	0	
166	785	7438292	7.28874	-224	21	0	0	0	
167	835	7438342	6.32648	-216	25	0	0	0	
168	885	7438392	4.37696	0	0	0	0	0	
169	935	7438442	6.61896	-238	18	0	0	0	
170	985	7438492	5.63623	-231	30	0	0	0	
171	1035	7438542	5.08673	-224	32	0	0	0	
172	1085	7438592	5.77046	-230	28	0	0	0	
173	1135	7438642	6.28511	-232	23	0	0	0	
174	1185	7438692	4.47252	0	0	0	0	0	
175	1235	7438742	6.26376	-223	25	0	0	0	
176	1285	7438792	5.44837	-233	27	0	0	0	
177	1335	7438842	6.57462	-242	22	0	0	0	
178	1385	7438892	6.3905	-226	21	0	0	0	
179	1435	7438942	6.51018	-229	23	0	0	0	
180	1485	7438992	6.71454	-231	32	0	0	0	
181	1535	7439042	5.57786	-226	25	0	0	0	
182	1585	7439092	5.82095	-240	30	0	0	0	
183	1635	7439142	7.18498	-234	20	0	0	0	
184	1685	7439192	5.98515	-222	23	0	0	0	
185	1735	7439242	5.5354	-223	31	0	0	0	
186	1785	7439292	6.66838	-227	23	0	0	0	
187	1835	7439342	7.22603	-232	22	0	0	0	
188	1885	7439392	6.13946	-222	26	0	0	0	
189	1935	7439442	6.77054	-224	21	0	0	0	
190	1985	7439492	5.92637	-217	21	0	0	0	
191	2035	7439542	5.80136	-229	31	0	0	0	
192	2085	7439592	6.71983	-222	25	0	0	0	
193	2135	7439642	6.09859	-230	26	0	0	0	
194	2185	7439692	6.78716	-224	22	0	0	0	
195	2235	7439742	6.3547	-235	24	0	0	0	
196	2285	7439792	6.44603	-225	20	0	0	0	
197	2335	7439842	5.13487	-233	35	0	0	0	
198	2385	7439892	4.68015	0	0	0	0	0	
199	2435	7439942	6.08322	-229	30	0	0	0	
200	2485	7439992	4.40358	0	0	0	0	0	
